ActualSalePrice,PredSalePrice_Ridge,PredSalePrice_Lasso,Residual_Ridge,Residual_Lasso,PctError_Ridge,PctError_Lasso
154500,147327.87498147466,151284.0891873406,7172.125018525345,3215.910812659393,0.04642152115550385,0.020814956716242027
325000,305810.56311017444,305394.3753759254,19189.436889825563,19605.62462407461,0.05904442119946327,0.0603249988433065
115000,112834.13187527606,115189.89486056432,2165.8681247239438,-189.8948605643236,0.018833635867164727,-0.0016512596570810749
159000,179004.468559852,175883.96518363227,-20004.468559851986,-16883.965183632274,-0.12581426767202508,-0.10618846027441682
315500,290561.3434295887,297389.6446896917,24938.656570411287,18110.35531030828,0.07904487027071723,0.05740207705327506
75500,65240.0469859866,59625.25645167567,10259.953014013401,15874.743548324332,0.135893417404151,0.21026150395131565
311500,226290.22105070626,230084.18737419866,85209.77894929374,81415.81262580134,0.27354664189179373,0.26136697472167364
146000,156298.12623185344,152995.29862959232,-10298.126231853443,-6995.298629592318,-0.07053511117707838,-0.04791300431227615
84500,63233.83197860271,56792.72642744996,21266.168021397287,27707.27357255004,0.25167062747215724,0.32789672866923125
135500,143955.40255062206,137637.23187947256,-8455.402550622064,-2137.231879472558,-0.06240149483853922,-0.015772928999797476
145000,145145.03122944816,154706.79556154745,-145.0312294481555,-9706.79556154745,-0.0010002153755045208,-0.06694341766584448
130000,110669.77543019046,114372.97227444108,19330.224569809536,15627.027725558917,0.14869403515238105,0.12020790558122244
81000,100838.1817049266,85242.22951433455,-19838.181704926596,-4242.229514334555,-0.2449158235176123,-0.05237320388067351
214000,209451.16165565528,210263.90375368897,4548.838344344724,3736.0962463110336,0.021256253945536093,0.017458393674350623
181000,190720.0606013592,188072.85413401597,-9720.060601359204,-7072.854134015972,-0.05370199227270279,-0.03907654217688382
134500,135975.30030572845,134859.32329550153,-1475.3003057284513,-359.32329550152645,-0.010968775507274731,-0.0026715486654388582
183500,209228.52041584929,209725.48948392685,-25728.520415849285,-26225.489483926853,-0.14020992052233944,-0.14291819882248966
